ID,Use Case,AI Product,Delivery Owner,Status,Current Phase,Lifecycle Sub-Step,AI Governance Step,AI PO,AI Strategist,Buy/Build/Adapt,Submitter,Business Partner,Business Area,Executive Summary,Build Lead,Priority,Risk Assessment,Comments,Problem Statement,Description,Governance Notes,Timing Considerations,Is Real Data Required?,Does it Drive Internal Efficiency?,Data Scope,AI Solution or Tools of Interest,Build Status,Does it leverage AI on Products?,Build Notes,PV ID,Risk Level,In Scope,Modified By,Submission Date,Created,Submission Year,Intake & Triage Date,Risk Review Date,AI OC Review Date,AI GB Review Date,AI ARC Complete Date,Deployment/Approval Date,Completion,Stakeholders,In Build Team Scope,ADO Epic,Doc link. Funding Commitment Form,Doc link. Level of Effort,Doc link. Functional Design Document,Doc link. Technical Design Document,Doc link. Application Installation Quallification (AIQ),Doc link. Code Review,Doc link. Runbook,Doc link. Hypercare Exit Criteria,Doc link. SIT Test Scripts,Doc link. UAT Test Scripts,Modified,Total Priority,AI Validation Status,AI Monitoring Required,AI Safety and Performance Status,Financial ROI,Strategic Priority,Continuity,Regulatory priority level,Total Priority McKensey,Business Unit: Group,LOE Tshirt Size,Projected Value $,Doc link. BCFM,Doc link. URS Requirements,ROM / LOE Total Amount,Feasibility (Complexity & Data Readiness),Scalability or Reusability,Total Priority -Opt
20,MAIA,MAIA,AI Office,Completed,6. Approved not by AI ARC,12. Complete,New Use Case,"Flores, Fernando","Flores, Fernando",Buy,"Rachh, Jignesh","Rachh, Jignesh",Finance,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=82&e=ASqkwk,,Time-Sensitive,/:x:/s/AIStrategy/IQA-xxpaoDEOS72J2ZyzWjCPAeQvkxcwCbWGoZL8zd3c1oo?e=6vxqPO,,"Chatbot offering help on strictly restricted topics about the usage of My DSO Manager (functionalities, setup) and Credit Management (best practices)","MAIA is a chatbot offering help on strictly restricted topics about the usage of My DSO Manager (functionalities, setup) and Credit Management (best practices). Otherwise, the chatbot will refuse to answer or it'll redirect the user to the support team.",AIOC updated,N/A,FALSE,FALSE,Customer prompting,Chatbot on MAIA,,FALSE,,,Medium,Yes,"Abreu, Matthew",6/20/25,7/14/25 10:23,2025,,7/2/25,7/10/25,,,,,Internal Finance Employees that utilize MAIA,No,,,,,,,,,,,,5/4/26 5:59,30,Not Assessed,Not Assessed,Completed,,,,,0,Corporate,,,,,,,,0
21,AMPAworks,AMPAworks,AI Office,On Hold,1. Discovery,01. Use Case Submission,New Use Case,"Flores, Fernando","Flores, Fernando",Buy,"Mendoza, George",,GQO,,,Routine,/:x:/r/sites/AIIntakeTeam/Shared%20Documents/Requests/Submissions/AMPAworks/AmpaWorks%20-%20AI%20Risk%20Intake%20Questionnaire%20.xlsx?d=w1d09d134acfb4c8189c6f8879b3cc562&csf=1&web=1&e=yDAPio,1218 --> Fer to follow up to check if we can close it.,,Real-time inventory tracking for warehouse logistics,AIOC updated,,TRUE,TRUE,,AMPAWorks,,FALSE,,,High,Yes,"Abreu, Matthew",2/6/25,7/14/25 10:23,2025,,2/19/25,2/13/25,,,,,"Mendoza, George",No,,,,,,,,,,,,5/4/26 8:02,30,Not Assessed,Not Assessed,Required,,,,,0,GQO,,,,,,,,0
22,Aquant.io,Aquant.io,,Completed,6. Approved for Use,12. Complete,AI Governance Completed,"Gamboa, Joshua","Gamboa, Joshua",Buy,"Sperry, Brad","Sperry, Brad",,/:p:/s/AIIntakeTeam/EZLQOK00bERInEqtc8ETCx0BtT5oaYGeiCtdCJ4mwtmKvA?e=75lA1E,,Routine,/:x:/s/AIIntakeTeam/EbMaMFNJUkVHjYGgmVn8nogB2kevriqh4uBB0f_JR0ILcw?e=07V3Id,,,Product service insights for field service teams,,,TRUE,TRUE,,,,FALSE,,,High,Yes,"Abreu, Matthew",5/21/25,7/14/25 10:26,2025,,5/28/25,7/10/25,,9/8/25,,,,No,,,,,,,,,,,,5/4/26 5:56,30,Required,Required,Completed,,,,,0,Other,,,,,,,,0
23,Mappedin,Mappedin,AI Office,Completed,6. Approved as Exception,12. Complete,AI Governance Completed,"Flores, Fernando","Flores, Fernando",Buy,"Ashton, Russell","Ashton, Russell",EDT,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=65&e=9EG4J5,,Time-Sensitive,/:x:/s/AIStrategy/IQAA3bGSiRF_R7wOStHpEgJ3AczSyXVyww1Tj9vcMPNkjDo?e=sbffeI,,This application is only used for taking building layouts and bringing them into Microsoft Places to provide a visual of desks. ,"The intent of the AI use case is a button in the application that looks at the drawings of the map and creates the walls as opposed to manually having to draw all the walls, desks, and rooms.",AIOC updated,N/A,TRUE,TRUE,Building drawings,MappedIn,,FALSE,,,Medium,Yes,"Elizondo, Carlos",4/28/25,7/14/25 11:38,2025,,5/21/25,6/12/25,,9/30/25,,,MappedIn Administrators inside of Stryker (15 users max),No,,,,,,,,,,,,3/27/26 7:10,30,Not Required,Not Required,Completed,,,,,0,EDT,,,,,,,,0
24,Medius,Medius,,Completed,6. Approved as Standard,12. Complete,AI Governance Completed,"Vargas, Josue David","Ballestero, Michael",Buy,"Rachh, Jignesh","Rachh, Jignesh",Finance,/:p:/s/AIIntakeTeam/Ec1Em3jssGlEtDgToYDhToABhzSyPu-dNqRN4wzShXbpoA?e=ZED9pb,,Routine,/:x:/s/AIIntakeTeam/EfoaSgdqBqZDp9NN2E05K4ABkycLmMasC_9BCD7h6z9CNg?e=UAe3a4,,"Reduce Support Dependency: Minimize the need for external support from the project and run teams by providing clear guidance and easy access to information within the platform.
Improve Invoice visibility & accuracy: Enhance visibility for business users on approved invoices and detect unusual or potentially incorrect invoices, reducing the risk of fraudulent or erroneous payments.
Enable Self-Service: Empower business users with self-service functionalities, allowing them to resolve common issues and retrieve necessary information without needing assistance from the Medius support team.
Overall, the objective is to streamline operations, improve efficiency, and reduce operational costs by making invoice management more autonomous and reducing the support workload.	","The Medius Copilot AI tool is designed to assist Accounts Payable, Medius Admin, and Business Users in utilizing the Medius platform more effectively. It provides guidance, improves visibility on invoice management, and offers self-service capabilities to reduce reliance on support teams.",AIOC updated,N/A,TRUE,TRUE,Internal Finance Datasets,Medius,,FALSE,,,High,Yes,"Abreu, Matthew",11/14/24,7/14/25 11:46,2024,,3/26/25,3/27/25,,4/10/25,,,"Corporate Finance employees
Tschann, Alexandre
",No,,,,,,,,,,,,5/4/26 5:59,30,Not Assessed,Not Assessed,Completed,,,,,0,Corporate,,,,,,,,0
25,Meeting Capture AI,Meeting Capture AI,AI Office,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,"Ballestero, Michael","Heller, Amanda",Buy,DAlessio Jerry,"Perez, Dianet",Joint Replacement,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=46&e=cZGjsK,,Time-Sensitive,/:x:/s/AIStrategy/IQCjTx7886U5Tbsevsjn24aXAVvFjbGfaPPVvKG9ALbM2VU?e=Qb3yKJ,11/10 --> Fer to follow with Carlos. Mike to follow up with Dianet. DONE 11/13 --> PoC have been finished they are currently on the assessments and then go to AI ARC.,"Meetings w/ physician consultants require extensive note taking, over the course of several days, at a Stryker facility or externally. Today multiple scribes are required to take notes throughout the meeting and credit the correct speaker. To remove the need for scribes CoPilot can be used to provide a transcript, we would like to enable a portion of facial or voice recognition to know who is speaking and when. Transcripts will only be shared internally. The intent is to leverage Microsoft Copilot/Teams Premium and go through a POC first before implementing this use case for broader use.",AI voice recognition for meeting transcriptions,"AIOC updated.
12/16/2025: This was the first date in the risk review 3/5/2025. Matt asked to add again in Dec 17 risk rev.
12/18/2025: Risk Rev: Use case risk is accurate (Medium), acceptable, and escalation to the AI Operating
Committee is not required.",Time-Sensitive,FALSE,TRUE,"Face, voice and transcript information - sensitive",Meeting Capture AI tool,,TRUE,,1008173,High,Yes,"Abreu, Matthew",3/4/25,7/14/25 11:54,2025,,12/17/25,,,,,,10 users inside of JR on client facing meetings,No,,,,,,,,,,,,5/4/26 6:28,30,Not Assessed,Not Assessed,Required,,,,,0,Commercial US,,,,,,,,0
26,Microsoft Copilot,Microsoft Copilot,,Completed,6. Approved as Standard,12. Complete,AI Governance Completed,"Vargas, Josue David","Ballestero, Michael",Buy,"Austin, Scott","Turner, Mandi",EDT,,,Urgent,/:x:/s/AIStrategy/IQB379lUlojkT607TdYKwtoyAVQuRDmsitXwKxYZSh6Y2So?e=4akRYR,,"Microsoft Copilot is a portfolio of generative AI agents, built into the Microsoft apps, products, and services we currently utilize. These agents all utilize the Azure OpenAI GPT model described below. Generative AI use cases specifically tied to the Microsoft suite of products - Chat, Teams, Outlook, Word, Excel, Powerpoint, Studio, Whiteboard, OneNote, Flow",General productivity LLM,AIOC updated,Urgent,TRUE,TRUE,"Internal and External data, unstructured data and structured as well ",Microsoft Copilot,,FALSE,,1008851,High,Yes,"Abreu, Matthew",11/14/24,7/14/25 12:00,2024,,2/11/25,2/13/25,,,,,The tool will be used company wide,No,,,,,,,,,,,,5/4/26 5:59,30,Not Assessed,Not Assessed,Completed,,,,,0,EDT,,,,,,,,0
27,Microsoft Fabric,Microsoft Fabric,AI Office,Completed,6. Approved not by AI ARC,12. Complete,New Use Case,"Flores, Fernando","Flores, Fernando",Buy,"Scott, Steven","Sharma, Ravi",EDT,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=75&e=ZEyC6r,,Urgent,/:x:/s/AIStrategy/IQB3UN3i32XkSZ8NaoheywPMAZ1X7Jezkh4Czr4v_0DCt1E?e=MCstDK,11/10 --> Fernando is taking care of this one: Next step: start with the downstream assessments. ,"Microsoft Fabric is a unified, enterprise-grade analytics platform that integrates data movement, processing, transformation, real-time event routing, and reporting. It brings together services like Data Engineering, Data Factory, Data Science, Real-Time Intelligence, Data Warehouse, and Databases—all under one umbrella.",AI-powered insight generation for data engineering and analytics teams,"12/01 --> Fer, This tool is already approved by Stryker and manage by the team of Kieran Bennett, all use cases should go through Risk Intake to address the Risk relate to the use and data handled, then should communicate with Kiera's Team
AIOC updated",Urgent,TRUE,TRUE,Internal data - very sensitive,Microsoft Fabric ,,FALSE,,,High,Yes,"Abreu, Matthew",6/6/25,7/14/25 12:05,2025,,6/11/25,6/12/25,,,,,Intended for global use,No,,,,,,,,,,,,5/4/26 5:59,30,Not Assessed,Not Assessed,Completed,,,,,0,EDT,,,,,,,,0
28,Microsoft Places AI,Microsoft Places AI,,Completed,6. Approved not by AI ARC,12. Complete,AI ARC Scheduled,"Vargas, Josue David","Ballestero, Michael",Buy,"Sterling, Randall","Sterling, Randall",Infrastructure,,,Routine,/:x:/s/AIStrategy/IQB7bVz8KcFeRqGkF40hcmU5AZwvXScquk_ujvqC_gOx9qc?e=Wx9fcm,,Need to optimize the use of physical spaces,"Workplace management tool designed to help organizations optimize their use of physical spaces. It leverages geolocation data and advanced analytics to provide insights into space utilizations, employee preferences, and meeting room management.",AIOC updated,Routine,TRUE,TRUE,Internal geolocation of desks inside of the company's premises,Microsoft Places AI,,FALSE,,,Low,Yes,"Abreu, Matthew",2/6/25,7/14/25 12:10,2025,,2/19/25,,,,,,Internal employees / on site,No,,,,,,,,,,,,5/4/26 5:59,30,Not Assessed,Not Assessed,Completed,,,,,0,EDT,,,,,,,,0
29,Microsoft Teams Premium,Microsoft Teams Premium,,Completed,6. Approved as Standard,12. Complete,AI Governance Completed,"Vargas, Josue David","Ballestero, Michael",Buy,"Austin, Scott","Austin, Scott",EDT,,,Routine,,,Optimize the communication inside of the company,AI-assisted meeting insight extraction for business collaboration teams,No Risk Assessment,Routine,FALSE,TRUE,External / internal,Microsoft Teams Premium,,FALSE,,,,Yes,"Abreu, Matthew",11/14/24,7/14/25 12:12,2024,,,,,,,,Internal - all employees,No,,,,,,,,,,,,5/4/26 5:59,30,Not Assessed,Not Assessed,Completed,,,,,0,EDT,,,,,,,,0
30,Mindtickle,Mindtickle,,Completed,6. Approved for Use,12. Complete,AI Governance Completed,"Gamboa, Joshua","Gamboa, Joshua",Buy,"Hewitt, Lindy","Hewitt, Lindy",Neurovascular,,,Routine,/:x:/s/AIStrategy/IQAdQKO5564RT5S8tv0RRGGcAdzHqkK1zDLod-V_mOtrnKk?e=5HmHmW,,,,AIOC updated,,TRUE,TRUE,,Mindtickle,,TRUE,,,Low,Yes,"Abreu, Matthew",5/21/25,7/14/25 12:20,2025,,8/6/25,,,9/8/25,,,"Fontenot, Kristin",No,,,,,,,,,,,,5/4/26 5:59,30,Not Required,Not Required,Completed,,,,,0,Commercial US,,,,,,,,0
31,Miro AI,Miro AI,,Completed,6. Approved for Use,12. Complete,AI Governance Completed,"De la Torre, Gustavo","De la Torre, Gustavo",Buy,"Heaney, Doug","Heaney, Doug",Instruments,,,Routine,/:x:/s/AIStrategy/IQDIQP-V1k_xQ4eLc34BrARUARU_JVd4yfaD6XVJdDlnPeA?e=Je3Gcx,,"Enterprise accounts get 100 credits per license per month, which resets monthly. According to Miro, this credit allocation is generous and exceeds most customers needs. Unused credits will not carry over to the next month. Available credits are pooled across the organization on the basis of overall licensed seats. At Stryker's current licensing level of 410 seats, enterprise teams have an available pool of 41,000 credits per month.	","Miro AI Enablement - Using optional Miro Enterprise feature set to auto create and edit whiteboard content. Miro AI is an optional feature available via enterprise licensing. Enabling Miro AI is free of charge; however, usage is based on a credit system, with one credit charged for each AI action performed. ",AIOC updated,Routine,FALSE,FALSE,Internal possible,Miro AI,4-Complete,FALSE,,,High,Yes,"Abreu, Matthew",2/6/25,7/14/25 12:29,2025,,2/12/25,2/13/25,,4/21/25,,,"Doug, Henney - Owner
All employees internal, potentially",No,,,,,,,,,,,,5/4/26 5:59,30,Not Assessed,Not Assessed,Completed,,,,,0,Commercial US,,,,,,,,0
